Connect4AI70 vs Connect4AI71
Move to column 3:
Move to column 2:
Move to column 3:
Move to column 3:
Move to column 3:
Move to column 2:
Move to column 2:
Move to column 2:
Move to column 3:
Move to column 4:
Move to column 4:
Move to column 4:
Move to column 4:
Move to column 2:
Move to column 2:
Move to column 0:
Move to column 4:
Move to column 3:
Move to column 4:
Move to column 0:
Move to column 0:
Move to column 0:
Move to column 0:
Move to column 0:
Move to column 5:
Move to column 6:
Move to column 5:
Move to column 1:
Move to column 1:
GAME OVER!
