Connect4AI28 vs Connect4AI29
Move to column 3:
Move to column 2:
Move to column 3:
Move to column 3:
Move to column 3:
Move to column 2:
Move to column 2:
Move to column 2:
Move to column 3:
Move to column 4:
Move to column 4:
Move to column 4:
Move to column 4:
Move to column 2:
Move to column 2:
Move to column 0:
Move to column 4:
Move to column 3:
Move to column 4:
Move to column 0:
Move to column 0:
Move to column 0:
Move to column 0:
Move to column 0:
Move to column 5:
Move to column 6:
Move to column 5:
Move to column 1:
Move to column 1:
GAME OVER!
